music_name,music_type,pub_time,musician,rating_nums,rating_count
We Sing. We Dance. We Steal Things., 民谣, 2008-05-13 ,Jason Mraz ,9.1,116587
Viva La Vida Death And All His Friends, 摇滚, 2008-06-17 ,Coldplay ,9.0,116587
华丽的冒险 華麗的冒險, 流行, 2005-09-23 ,陈绮贞 ,9.0,116587
范特西 Fantasy, 流行, 2001-09-14 ,周杰伦 ,9.5,116587
後。青春期的詩 后青春期的诗, 摇滚, 2008-10-23 ,五月天 ,9.0,116587
是时候 It's Time, 流行, 2011-03-08 ,孙燕姿 ,8.7,116587
Lenka, 流行, 2008-09-23 ,Lenka ,8.6,116587
Start from Here 从这里开始, 爵士, 2008-01-11 ,王若琳 ,8.8,116587
旅行的意义, 流行, 2004-02-02 ,陈绮贞 ,9.1,116587
太阳 Immortal, 流行, 2009-01-22 ,陈绮贞 ,8.8,116587
Once (Soundtrack) Once / 电影《曾经》原声大碟, 原声, 2007-05-22 ,"Glen Hansard,Marketa Irglova ",9.2,116587
Not Going Anywhere 守候, 民谣, 2004-08-24 ,Keren Ann ,8.9,116587
American Idiot, 摇滚, 2004-09-21 ,Green Day ,9.0,116587
思念是一种病 OK, 流行, 2007-07-06 ,张震岳 Csun Yuk ,8.8,116587
無與倫比的美麗 无与伦比的美丽, 流行, 2007-11-02 ,苏打绿 ,8.8,116587
亲爱的...我还不知道 親愛的…我還不知道, 流行, 2007-07-20 ,张悬 ,8.8,116587
城市 The City, 摇滚, 2009-05-22 ,张悬 ,8.7,116587
O, 流行, 2003 ,Damien Rice ,9.1,116587
Wake Me Up When September Ends 九月结束的时候叫醒我, 摇滚, 2005-06-13 ,Green Day ,9.4,116587
叶惠美 葉惠美 / Yeh Hui-Mei, 流行, 2003-07-31 ,周杰伦 ,9.3,116587
七里香 Common Jasmin Orange, 流行, 2004 ,周杰伦 ,9.1,116587
21, 流行, 2011-01-24 ,Adele ,9.3,116587
My Life Will..., 流行, 2006-06-09 ,张悬 ,8.8,116587
寓言, 流行, 2000 ,王菲 ,9.4,116587
你在煩惱什麼 你在烦恼什么, 流行, 2011-11-11 ,苏打绿 ,9.0,116587
